C00197095|N|M3|P2026|202503109754099739|24K|CCM|FEENSTRA FOR CONGRESS|HULL|IA|51239|||02182025|5000|C00693663|H0IA04145|A3620066C0EA0E3EB07|1879916|||4031120251179905021
C00197095|N|M3|P2026|202503109754099738|24K|CCM|BETH VAN DUYNE FOR CONGRESS|IRVING|TX|75063|||02182025|1000|C00714865|H0TX24209|58FA5CC02FC753EB131|1879916|||4031120251179905018
C00197095|N|M3|P2026|202503109754099739|24K|CCM|FRENCH HILL FOR ARKANSAS|LITTLE ROCK|AR|72217|||02182025|5000|C00551275|H4AR02141|07160329E557F2F17FF|1879916|||4031120251179905022
C00197095|N|M3|P2026|202503109754099740|24K|CCM|HERN FOR CONGRESS|TULSA|OK|74137|||02182025|5000|C00636092|H8OK01157|7556358024400DF5ED8|1879916|||4031120251179905025
C00197095|N|M3|P2026|202503109754099741|24K|CCM|KANSANS FOR MARSHALL|GREAT BEND|KS|67530|||02182025|1000|C00576173|S0KS00315|7B1399AC0C674FD6CB1|1879916|||4031120251179905026
C00197095|N|M3|P2026|202503109754099741|24K|CCM|LAHOOD FOR CONGRESS|PEORIA|IL|61612|||02182025|5000|C00575050|H6IL18088|D357A94C72EABC7B1B7|1879916|||4031120251179905027
C00197095|N|M3|P2026|202503109754099742|24K|CCM|MEUSER FOR CONGRESS|HUDSON|WI|54016|||02182025|5000|C00654723|H8PA10147|6DF14342FFE9413BFAD|1879916|||4031120251179905029
C00197095|N|M3|P2026|202503109754099742|24K|CCM|NEVADANS FOR STEVEN HORSFORD|NORTH LAS VEGAS|NV|89033|||02192025|1000|C00668228|H2NV04011|AF845A4A4369E755119|1879916|||4031120251179905030
C00197095|N|M3|P2026|202503109754099743|24K|CCM|SMUCKER FOR CONGRESS|ATHENS|GA|30605|||02252025|5000|C00599464|H6PA16320|A8B53AA2C084DB89B20|1879916|||4031120251179905034
C00197095|N|M3|P2026|202503109754099743|24K|CCM|RUDY FOR INDIANA|ALEXANDRIA|VA|22313|||02182025|5000|C00822767|H2IN02295|6BF551A391DC690E479|1879916|||4031120251179905032
C00197095|N|M3|P2026|202503109754099743|24K|CCM|SCOTT FITZGERALD FOR CONGRESS|OCONOMOWOC|WI|530660484|||02182025|5000|C00720011|H0WI05113|0E1915EE884B7A9EC92|1879916|||4031120251179905033
C00197095|N|M3|P2026|202503109754099744|24K|CCM|STEIL FOR WISCONSIN, INC.|OAK CREEK|WI|53154|||02182025|5000|C00677286|H8WI01156|13C7E3971C0A6E52564|1879916|||4031120251179905035
C00197095|N|M3|P2026|202503109754099744|24K|CCM|STEVE DAINES FOR MONTANA|HELENA|MT|596241598|||02252025|5000|C00491357|S2MT00096|29215C5891D5F30B4BA|1879916|||4031120251179905036
C00197095|N|M3|P2026|202503109754099745|24K|CCM|TROY DOWNING FOR CONGRESS|BILLINGS|MT|59104|||02182025|1000|C00855288|H4MT02098|57DEE0AB8397B1E86B1|1879916|||4031120251179905038
C00099754|N|Q1|P|202504090300502339|24K||FRIENDS OF GT|ST MARYS|PA|15857|||02112025|350|C00444620|H8PA05071|SB04092523391|1884747|||2040920251183584014
C00099754|N|Q1|P|202504090300502339|24K||STUTZMAN 4 CONGRESS|FALLS CHURCH|VA|22040|||03112025|350|C00838110|H0IN03198|SB04092523392|1884747|||2040920251183584015
C00830570|N|M4|P2026|202504119755217548|24K|CCM|ALASKANS FOR DAN SULLIVAN|ANCHORAGE|AK|99503|||03042025|3300|C00570994|S4AK00214|SB23.4247|1885368|||4041120251183925154
C00830570|N|M4|P2026|202504119755217548|24K|CCM|CHUCK FLEISCHMANN FOR CONGRESS COMMITTEE, INC.|CHATTANOOGA|TN|37401|||03132025|3300|C00461822|H0TN03254|SB23.4230|1885368|||4041120251183925155
C00830570|N|M4|P2026|202504119755217548|24K|CCM|DON BACON FOR CONGRESS|OMAHA|NE|68139|||03112025|3500|C00575167|H6NE02125|SB23.4236|1885368|||4041120251183925156
C00830570|N|M4|P2026|202504119755217549|24K|CCM|JAKE ELLZEY FOR CONGRESS|AUSTIN|TX|78701|||03102025|3300|C00770438|H8TX06266|SB23.4250|1885368|||4041120251183925158
C00830570|N|M4|P2026|202504119755217549|24K|CCM|MOOLENAAR FOR CONGRESS|MIDLAND|MI|48640|||03272025|3500|C00561530|H4MI04126|SB23.4256|1885368|||4041120251183925159
C00830570|N|M4|P2026|202504119755217550|24K|CCM|ROB WITTMAN FOR CONGRESS|ALEXANDRIA|VA|22313|||03052025|3300|C00441014|H8VA01147|SB23.4246|1885368|||4041120251183925161
C00830570|N|M4|P2026|202504119755217550|24K|CCM|ROUNDS FOR SENATE|PIERRE|SD|57501|||03122025|3300|C00532465|S4SD00049|SB23.4233|1885368|||4041120251183925162
C00830570|N|M4|P2026|202504119755217551|24K|CCM|TEXANS FOR MORGAN LUTTRELL|MAGNOLIA|TX|77353|||03062025|3300|C00781112|H2TX08182|SB23.4241|1885368|||4041120251183925164
C00830570|N|M4|P2026|202504119755217551|24K|CCM|THE PAT HARRIGAN COMMITTEE|RALEIGH|NC|27624|||03252025|3300|C00802298|H2NC13243|SB23.4225|1885368|||4041120251183925165
C00400929|N|M4|P2028|202504119755217192|24K|CCM|BRITT FOR ALABAMA INC|MONTGOMERY|AL|36109|||03042025|3000|C00781443|S2AL00145|B19A770A368C3A7566B|1885345|||4041120251183924961
